id;name_ar;name_en;code;status
1;Investor Designer withdrawal;Cambridgeshire;Architect Car;11421
2;Auto Loan Account iterate Sports;functionalities Concrete technologies;Infrastructure cross-platform Sleek Soft Computer;31400
3;black navigating Baby;Executive;Sleek;79196
4;Synchronised;platforms Loaf;reboot navigating;57995
5;navigating Future;Village Credit Card Account;connect Kenya;95021
6;Bike;Auto Loan Account Rustic;payment;70693
7;model;Auto Loan Account Business-focused;protocol bypass;67229
8;Decentralized Self-enabling;bleeding-edge;convergence strategize calculating;30871
9;Japan Fantastic Concrete Bacon;Delaware;calculate online Kansas;98226
10;sky blue Minnesota Investment Account;Dynamic Forint;RSS;82480
